Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Azerbaijan,AZE,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Azerbaijan,AZE,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Azerbaijan,AZE,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Azerbaijan,AZE,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Azerbaijan,AZE,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Azerbaijan,AZE,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Azerbaijan,AZE,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,2589.858867181
Azerbaijan,AZE,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,2145.736266697
Azerbaijan,AZE,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1823.90461321
Azerbaijan,AZE,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Azerbaijan,AZE,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Azerbaijan,AZE,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Azerbaijan,AZE,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Azerbaijan,AZE,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7
Azerbaijan,AZE,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Azerbaijan,AZE,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6
Azerbaijan,AZE,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Azerbaijan,AZE,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Azerbaijan,AZE,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Azerbaijan,AZE,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Azerbaijan,AZE,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7
Azerbaijan,AZE,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5551452636719
Azerbaijan,AZE,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.7269999756599
Azerbaijan,AZE,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.023834941184
Azerbaijan,AZE,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.2360923544978
Azerbaijan,AZE,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.2421881518978
Azerbaijan,AZE,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.3527968807853
Azerbaijan,AZE,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.1867220505416
Azerbaijan,AZE,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.4192082058383
Azerbaijan,AZE,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.2339828650537
Azerbaijan,AZE,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,29.1805878419231
Azerbaijan,AZE,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.4281061456644
Azerbaijan,AZE,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.1201756676417
Azerbaijan,AZE,2009,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.7342951325807
Azerbaijan,AZE,2008,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.6727592862898
Azerbaijan,AZE,2007,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.9134764720137
Azerbaijan,AZE,2006,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.4343550329971
Azerbaijan,AZE,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.2133033124848
Azerbaijan,AZE,2004,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.1817649122083
Azerbaijan,AZE,2003,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.2603464043066
Azerbaijan,AZE,2002,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.4107005876363
Azerbaijan,AZE,2001,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.5944802610536
Azerbaijan,AZE,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.773338223415
Azerbaijan,AZE,1999,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.0010746348788
Azerbaijan,AZE,1998,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.3058658224496
Azerbaijan,AZE,1997,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.6109288352535
Azerbaijan,AZE,1996,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.8394807224165
Azerbaijan,AZE,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.9147385330648
Azerbaijan,AZE,1994,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.8277757550846
Azerbaijan,AZE,1993,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.6244977588719
Azerbaijan,AZE,1992,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.3103694173176
Azerbaijan,AZE,1991,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.8908556033125
Azerbaijan,AZE,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.3714211897473
Azerbaijan,AZE,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Azerbaijan,AZE,2016,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Azerbaijan,AZE,2015,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Azerbaijan,AZE,2014,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
